case_id,customer_id,contract_id,product_id,owner_employee_id,opened_by_contact_id,case_type,priority,channel,status,opened_at,first_response_at,resolved_at,resolution_category,escalation_level,satisfaction_score,created_at,updated_at,batch_id
CASE_000011,CUST_000003,CNTR_000006,PROD_000007,EMP_000087,CONT_000005,billing_question,medium,email,resolved,2026-05-25 14:30:00,2026-05-26 05:12:59,2026-06-04 20:05:09,configuration_change,0,4,2026-05-25 14:30:00,2026-06-04 20:05:09,batch_2026_06_13_001
CASE_000012,CUST_000004,CNTR_000007,PROD_000002,EMP_000089,CONT_000008,billing_question,medium,phone,resolved,2023-11-11 08:50:00,2023-11-12 08:20:08,2023-11-17 23:09:09,configuration_change,0,3,2023-11-11 08:50:00,2023-11-17 23:09:09,batch_2026_06_13_001
CASE_000013,CUST_000004,CNTR_000007,PROD_000002,EMP_000023,CONT_000008,feature_request,medium,chat,resolved,2024-08-18 12:10:00,2024-08-19 13:32:57,2024-08-29 18:36:49,training_provided,0,3,2024-08-18 12:10:00,2024-08-29 18:36:49,batch_2026_06_13_001
CASE_000014,CUST_000004,CNTR_000007,PROD_000002,EMP_000137,CONT_000008,integration_issue,low,phone,resolved,2024-10-24 11:50:00,2024-10-26 06:16:25,2024-11-10 16:10:10,resolved_by_support,0,4,2024-10-24 11:50:00,2024-11-10 16:10:10,batch_2026_06_13_001
CASE_000015,CUST_000004,CNTR_000007,PROD_000002,EMP_000023,CONT_000008,technical_issue,medium,portal,resolved,2026-03-24 12:50:00,2026-03-25 18:10:14,2026-04-04 09:49:22,resolved_by_support,0,4,2026-03-24 12:50:00,2026-04-04 09:49:22,batch_2026_06_13_001
CASE_000016,CUST_000006,CNTR_000010,PROD_000004,EMP_000021,CONT_000016,onboarding_help,low,portal,resolved,2024-01-04 17:20:00,2024-01-06 07:13:34,2024-02-07 00:36:38,configuration_change,2,2,2024-01-04 17:20:00,2024-02-07 00:36:38,batch_2026_06_13_001
CASE_000017,CUST_000006,CNTR_000010,PROD_000004,EMP_000116,CONT_000015,technical_issue,medium,portal,resolved,2024-04-22 09:40:00,2024-04-23 09:21:42,2024-05-19 12:30:34,training_provided,2,2,2024-04-22 09:40:00,2024-05-19 12:30:34,batch_2026_06_13_001
CASE_000018,CUST_000006,CNTR_000010,PROD_000004,EMP_000122,CONT_000014,technical_issue,medium,portal,resolved,2023-12-10 09:50:00,2023-12-11 08:29:39,2023-12-19 23:14:20,resolved_by_support,2,2,2023-12-10 09:50:00,2023-12-19 23:14:20,batch_2026_06_13_001
CASE_000019,CUST_000006,CNTR_000009,PROD_000004,EMP_000056,CONT_000013,onboarding_help,medium,portal,resolved,2021-10-24 12:30:00,2021-10-25 06:35:45,2021-11-07 20:29:30,product_fix,0,3,2021-10-24 12:30:00,2021-11-07 20:29:30,batch_2026_06_13_001
CASE_000020,CUST_000006,CNTR_000010,PROD_000004,EMP_000093,CONT_000016,feature_request,medium,portal,resolved,2024-08-20 15:40:00,2024-08-21 09:09:26,2024-08-31 09:27:23,training_provided,2,1,2024-08-20 15:40:00,2024-08-31 09:27:23,batch_2026_06_13_001
CASE_000021,CUST_000006,CNTR_000010,PROD_000004,EMP_000047,CONT_000013,feature_request,low,portal,resolved,2023-05-08 11:10:00,2023-05-10 05:39:56,2023-05-30 13:35:26,resolved_by_support,1,4,2023-05-08 11:10:00,2023-05-30 13:35:26,batch_2026_06_13_001
CASE_000022,CUST_000006,CNTR_000010,PROD_000004,EMP_000018,CONT_000015,onboarding_help,high,email,resolved,2024-02-18 12:50:00,2024-02-18 18:47:46,2024-02-24 01:24:43,resolved_by_support,0,4,2024-02-18 12:50:00,2024-02-24 01:24:43,batch_2026_06_13_001
CASE_000023,CUST_000006,CNTR_000010,PROD_000004,EMP_000078,CONT_000014,technical_issue,low,portal,resolved,2023-06-07 14:00:00,2023-06-09 15:59:00,2023-07-03 09:42:17,training_provided,1,3,2023-06-07 14:00:00,2023-07-03 09:42:17,batch_2026_06_13_001
CASE_000024,CUST_000006,CNTR_000010,PROD_000004,EMP_000117,CONT_000016,integration_issue,high,phone,resolved,2024-02-19 11:00:00,2024-02-19 17:24:17,2024-02-26 11:50:18,resolved_by_support,0,2,2024-02-19 11:00:00,2024-02-26 11:50:18,batch_2026_06_13_001
CASE_000025,CUST_000006,CNTR_000010,PROD_000004,EMP_000055,CONT_000014,technical_issue,medium,chat,resolved,2024-10-02 16:30:00,2024-10-03 15:08:56,2024-10-22 03:54:22,configuration_change,2,2,2024-10-02 16:30:00,2024-10-22 03:54:22,batch_2026_06_13_001
